iter	Logloss
0	0.659276018
1	0.6183124885
2	0.5972039076
3	0.5756677255
4	0.5483642591
5	0.5298524397
6	0.5106098228
7	0.496904475
8	0.4861326609
9	0.4752340482
10	0.4626103964
11	0.4513846953
12	0.4454444642
13	0.4377740245
14	0.4312824492
15	0.4268715078
16	0.4212557342
17	0.4145991046
18	0.4092515515
19	0.4055122899
20	0.4018168952
21	0.3983409922
22	0.391647582
23	0.3864164571
24	0.3838794554
25	0.3796294446
26	0.3749795756
27	0.3724289543
28	0.368496661
29	0.3663285995
30	0.3644503014
31	0.3592583093
32	0.354031611
33	0.3513897723
34	0.3500869315
35	0.3482593187
36	0.3465448792
37	0.3442044333
38	0.3410940229
39	0.3389528022
40	0.3340418203
41	0.332175138
42	0.3293747038
43	0.3258658189
44	0.3192882818
45	0.3180954565
46	0.3154432589
47	0.3133484834
48	0.3125440946
49	0.3092942167
50	0.3084962873
51	0.306675864
52	0.3050011882
53	0.3022719256
54	0.2981834225
55	0.295940466
56	0.2924145521
57	0.2894015803
58	0.2886071616
59	0.2874403979
60	0.2860615885
61	0.2845648853
62	0.2826207917
63	0.2819029299
64	0.2800629969
65	0.2786549191
66	0.2780613535
67	0.2756733586
68	0.2748936162
69	0.2723768413
70	0.2708580409
71	0.2696311131
72	0.2685164009
73	0.266822855
74	0.2663273497
75	0.265331595
76	0.2645341367
77	0.2628563775
78	0.2605166377
79	0.2592005669
80	0.257909437
81	0.2573800599
82	0.2557555737
83	0.2550723308
84	0.2522108478
85	0.2512630608
86	0.2500199117
87	0.248561565
88	0.2469817955
89	0.245131683
90	0.2441631198
91	0.2434233121
92	0.2428489638
93	0.2425136174
94	0.2418047886
95	0.2412716768
96	0.2408484763
97	0.2392038475
98	0.2379064834
99	0.2372060813
100	0.2367132102
101	0.2362097193
102	0.2356014524
103	0.2351070151
104	0.2332392553
105	0.2327457702
106	0.2323985965
107	0.2310802049
108	0.2302947988
109	0.2290309879
110	0.2284624734
111	0.2265101926
112	0.2252714034
113	0.2248207876
114	0.2239545162
115	0.2235381624
116	0.2228721771
117	0.2219666012
118	0.2216263662
119	0.2214060073
120	0.2208995468
121	0.2204166413
122	0.2193523029
123	0.2188601146
124	0.2181163622
125	0.2177400194
126	0.2172125447
127	0.2163807242
128	0.2159780144
129	0.2148247461
130	0.2144637119
131	0.214257628
132	0.2139291352
133	0.2131362452
134	0.2124118703
135	0.2111740271
136	0.2108266588
137	0.2106571622
138	0.2101408379
139	0.2098438534
140	0.209596805
141	0.208874457
142	0.2085885114
143	0.2080224373
144	0.207703303
145	0.2074058523
146	0.2071905262
147	0.2068941071
148	0.2066734049
149	0.2064862691
150	0.20593274
151	0.2042622575
152	0.2036351114
153	0.2033322723
154	0.2026571666
155	0.2021112538
156	0.201925052
