iter	Passed	Remaining
0	8	8630
1	16	8096
2	23	7928
3	31	7917
4	39	7801
5	48	8084
6	59	8429
7	69	8578
8	76	8468
9	86	8514
10	93	8409
11	102	8411
12	110	8414
13	119	8442
14	127	8388
15	135	8321
16	144	8347
17	153	8348
18	160	8266
19	167	8225
20	175	8161
21	183	8155
22	192	8189
23	200	8149
24	208	8145
25	217	8160
26	225	8141
27	233	8102
28	241	8089
29	250	8109
30	262	8209
31	273	8268
32	281	8255
33	290	8249
34	297	8207
35	305	8178
36	313	8172
37	321	8147
38	329	8117
39	336	8085
40	343	8028
41	350	8003
42	357	7960
43	365	7940
44	372	7899
45	378	7858
46	386	7826
47	394	7827
48	401	7795
49	408	7764
50	415	7729
51	422	7701
52	430	7689
53	437	7662
54	444	7645
55	454	7654
56	461	7628
57	468	7605
58	474	7570
59	481	7550
60	488	7525
61	496	7505
62	502	7480
63	510	7465
64	518	7451
65	525	7432
66	532	7417
67	539	7395
68	546	7377
69	553	7353
70	561	7342
71	567	7314
72	575	7303
73	581	7275
74	589	7265
75	596	7254
76	604	7246
77	611	7232
78	619	7218
79	626	7208
80	633	7186
81	641	7177
82	647	7156
83	654	7141
84	661	7123
85	668	7108
86	676	7095
87	683	7083
88	690	7072
89	699	7068
90	706	7059
91	712	7036
92	720	7024
93	727	7007
94	734	6994
95	740	6975
96	748	6964
97	755	6950
98	762	6942
99	769	6925
100	776	6910
101	783	6899
102	790	6882
103	797	6873
104	804	6855
105	812	6848
106	819	6835
107	826	6829
108	833	6815
109	840	6803
110	847	6789
111	854	6776
112	861	6765
113	868	6748
114	875	6737
115	882	6726
116	889	6716
117	896	6701
118	903	6690
119	910	6677
120	918	6672
121	925	6660
122	932	6651
123	939	6639
124	947	6629
125	954	6620
126	961	6610
127	968	6600
128	975	6588
129	982	6577
130	989	6562
131	996	6550
132	1003	6543
133	1010	6533
134	1017	6521
135	1025	6513
136	1032	6506
137	1041	6505
138	1048	6494
139	1055	6482
140	1061	6469
141	1069	6462
142	1075	6446
143	1082	6435
144	1089	6423
145	1096	6414
146	1103	6401
147	1110	6391
148	1116	6375
149	1123	6364
150	1131	6359
151	1138	6353
152	1145	6342
153	1152	6330
154	1159	6318
155	1165	6306
156	1172	6293
157	1179	6286
158	1186	6274
159	1193	6267
160	1202	6265
161	1210	6262
162	1218	6259
163	1226	6254
164	1234	6246
165	1242	6240
166	1249	6231
167	1271	6295
168	1277	6284
169	1284	6271
170	1291	6260
171	1298	6250
172	1305	6239
173	1312	6228
174	1318	6215
175	1325	6205
176	1332	6195
177	1338	6181
178	1346	6174
179	1353	6163
180	1361	6158
181	1368	6148
182	1375	6139
183	1382	6129
184	1388	6118
185	1395	6108
186	1402	6096
187	1409	6089
188	1416	6078
189	1424	6070
190	1431	6062
191	1439	6056
192	1447	6051
193	1455	6047
194	1463	6041
195	1471	6036
196	1479	6032
197	1487	6027
198	1495	6021
199	1503	6013
200	1510	6004
201	1518	5998
202	1525	5989
203	1533	5982
204	1541	5977
205	1549	5973
206	1556	5964
207	1567	5968
208	1575	5962
209	1582	5954
210	1591	5950
211	1598	5941
212	1605	5932
213	1613	5926
214	1621	5918
215	1629	5913
216	1636	5905
217	1643	5896
218	1650	5886
219	1657	5878
220	1664	5868
221	1673	5863
222	1680	5853
223	1688	5848
224	1694	5836
225	1702	5829
226	1709	5820
227	1716	5811
228	1723	5801
229	1730	5793
230	1737	5784
231	1744	5774
232	1752	5768
233	1759	5758
234	1765	5748
235	1772	5737
236	1779	5729
237	1786	5719
238	1793	5711
239	1800	5700
240	1807	5693
241	1814	5684
242	1821	5674
243	1828	5664
244	1835	5656
245	1842	5648
246	1849	5638
247	1857	5631
248	1863	5620
249	1871	5613
250	1877	5603
251	1885	5595
252	1892	5586
253	1899	5578
254	1906	5570
255	1913	5562
256	1921	5553
257	1927	5543
258	1935	5537
259	1942	5529
260	1950	5521
261	1956	5511
262	1963	5502
263	1970	5493
264	1977	5484
265	1983	5474
266	1990	5465
267	1998	5458
268	2005	5449
269	2012	5442
270	2019	5433
271	2027	5426
272	2033	5416
273	2041	5408
274	2048	5399
275	2055	5391
276	2062	5383
277	2069	5374
278	2076	5364
279	2083	5356
280	2091	5350
281	2097	5341
282	2106	5336
283	2113	5328
284	2121	5322
285	2128	5313
286	2135	5305
287	2142	5297
288	2149	5289
289	2157	5281
290	2165	5275
291	2172	5266
292	2180	5261
293	2187	5253
294	2196	5248
295	2204	5242
296	2211	5233
297	2218	5226
298	2226	5220
299	2234	5213
300	2242	5206
301	2249	5198
302	2257	5193
303	2265	5187
304	2274	5182
305	2282	5175
306	2289	5168
307	2297	5162
308	2305	5156
309	2313	5150
310	2321	5143
311	2328	5135
312	2337	5130
313	2344	5122
314	2353	5117
315	2360	5110
316	2368	5103
317	2376	5096
318	2383	5088
319	2391	5081
320	2399	5075
321	2407	5069
322	2417	5066
323	2425	5060
324	2432	5052
325	2439	5044
326	2446	5035
327	2454	5028
328	2461	5020
329	2468	5012
330	2476	5005
331	2484	4999
332	2493	4993
333	2501	4987
334	2509	4980
335	2517	4974
336	2526	4970
337	2534	4963
338	2542	4957
339	2550	4951
340	2558	4943
341	2566	4937
342	2573	4928
343	2581	4922
344	2588	4915
345	2596	4908
346	2604	4900
347	2612	4894
348	2620	4888
349	2629	4884
350	2638	4878
351	2646	4871
352	2653	4863
353	2661	4857
354	2669	4849
355	2676	4842
356	2684	4835
357	2692	4828
358	2700	4821
359	2707	4812
360	2714	4805
361	2722	4798
362	2729	4790
363	2738	4784
364	2745	4776
365	2752	4767
366	2759	4759
367	2766	4750
368	2773	4742
369	2779	4733
370	2786	4725
371	2793	4716
372	2801	4709
373	2807	4699
374	2814	4691
375	2821	4682
376	2828	4674
377	2835	4666
378	2842	4657
379	2849	4649
380	2857	4641
381	2865	4635
382	2871	4625
383	2878	4618
384	2885	4609
385	2892	4601
386	2899	4592
387	2906	4584
388	2912	4575
389	2919	4566
390	2926	4558
391	2933	4549
392	2940	4541
393	2947	4533
394	2955	4526
395	2962	4517
396	2968	4509
397	2975	4500
398	2982	4492
399	2989	4484
400	2996	4476
401	3003	4467
402	3010	4459
403	3017	4451
404	3024	4443
405	3031	4435
406	3038	4427
407	3046	4420
408	3053	4411
409	3060	4403
410	3067	4395
411	3074	4387
412	3080	4378
413	3087	4370
414	3095	4362
415	3102	4354
416	3108	4346
417	3116	4338
418	3124	4332
419	3131	4324
420	3138	4316
421	3145	4308
422	3152	4299
423	3159	4291
424	3166	4283
425	3173	4276
426	3180	4268
427	3187	4259
428	3194	4252
429	3201	4244
430	3208	4236
431	3216	4228
432	3223	4221
433	3230	4212
434	3237	4204
435	3244	4197
436	3251	4188
437	3258	4180
438	3265	4172
439	3272	4165
440	3279	4157
441	3287	4150
442	3295	4143
443	3302	4135
444	3309	4127
445	3315	4118
446	3323	4111
447	3330	4103
448	3338	4097
449	3347	4091
450	3355	4084
451	3363	4077
452	3371	4071
453	3379	4064
454	3386	4056
455	3394	4049
456	3402	4042
457	3409	4035
458	3417	4027
459	3423	4019
460	3431	4011
461	3438	4003
462	3445	3996
463	3453	3988
464	3459	3980
